age,is_disabled,service_type,staff_efficiency_score,time_of_day,actual_duration_min
67,0,Forex,0.81,14,23.4
80,0,KYC_Update,0.93,10,15.4
30,0,Cash_Deposit,1.05,12,3.5
72,0,KYC_Update,1.02,15,10.7
27,0,Loan_Inquiry,0.81,14,21.3
40,0,Cash_Withdrawal,1.03,12,4.0
51,0,Fixed_Deposit,1.05,15,17.6
33,0,Cash_Withdrawal,1.1,9,4.5
27,0,Cash_Withdrawal,0.92,13,3.7
74,0,Cash_Deposit,0.99,12,4.6
35,0,Forex,1.18,11,16.2
65,1,Cash_Deposit,1.02,11,9.3
33,0,Account_Opening,1.01,10,24.4
62,0,Loan_Inquiry,0.86,12,21.5
50,0,Loan_Inquiry,1.07,9,17.5
88,0,Cash_Withdrawal,0.92,10,3.6
50,0,Fixed_Deposit,1.18,14,19.8
30,0,Cash_Withdrawal,1.16,14,4.8
80,0,Forex,1.08,11,18.9
58,1,Loan_Inquiry,0.8,12,20.6
46,0,Account_Opening,0.91,14,35.6
79,0,Lost_Card,1.11,16,12.3
88,0,Cash_Withdrawal,1.14,11,4.9
27,0,Cash_Deposit,1.14,9,3.8
69,0,KYC_Update,1.16,13,3.8
78,0,Loan_Inquiry,0.95,12,14.7
55,0,Cash_Withdrawal,0.96,9,3.2
39,0,Loan_Inquiry,0.98,11,12.7
90,1,Loan_Inquiry,1.09,16,18.9
80,0,Forex,0.95,9,22.7
44,0,Lost_Card,0.96,16,10.8
59,0,Forex,1.13,13,16.9
87,0,Account_Opening,1.06,14,20.3
27,0,Account_Opening,1.19,12,15.4
84,0,Lost_Card,0.99,16,11.5
35,0,KYC_Update,0.83,13,14.3
45,0,Loan_Inquiry,0.94,10,16.2
60,0,Fixed_Deposit,1.07,16,14.2
44,0,Account_Opening,0.81,9,35.5
35,0,Cash_Deposit,1.16,11,6.2
25,0,Loan_Inquiry,1.01,15,13.7
20,0,Forex,1.18,12,13.9
75,0,Fixed_Deposit,1.15,11,19.1
36,0,Loan_Inquiry,1.05,13,16.8
39,0,Lost_Card,1.17,10,9.7
31,0,Account_Opening,1.13,10,29.2
40,0,Cash_Deposit,1.15,10,6.6
87,0,Account_Opening,1.01,14,35.0
23,0,Account_Opening,0.89,16,29.3
30,0,Forex,0.99,12,16.4
28,0,Account_Opening,0.9,9,25.5
84,0,Cash_Deposit,0.95,12,3.3
58,0,Cash_Withdrawal,0.86,13,4.6
90,0,Forex,1.2,15,26.0
44,0,Fixed_Deposit,0.87,16,20.6
62,0,Account_Opening,1.09,10,29.8
47,0,Loan_Inquiry,0.84,15,20.7
24,0,Cash_Deposit,1.12,11,2.3
78,1,Account_Opening,0.84,13,37.7
22,0,Account_Opening,1.05,13,25.8
25,1,Loan_Inquiry,1.06,16,21.1
84,0,Cash_Deposit,1.11,12,5.2
39,0,Lost_Card,0.9,9,12.0
53,0,Lost_Card,1.07,15,10.2
43,0,Cash_Withdrawal,1.17,13,3.2
62,0,Forex,0.89,12,17.6
76,1,Cash_Deposit,0.9,15,5.7
82,0,Cash_Withdrawal,1.12,13,3.9
86,0,Forex,1.08,15,16.7
61,1,Fixed_Deposit,1.07,9,17.5
79,0,Cash_Withdrawal,0.95,12,4.3
58,0,Lost_Card,1.01,9,8.6
51,0,Cash_Withdrawal,0.96,14,6.6
78,0,KYC_Update,1.16,13,13.4
41,1,KYC_Update,1.0,12,13.9
51,0,KYC_Update,1.13,14,13.2
37,0,Cash_Withdrawal,1.17,16,2.1
87,1,Fixed_Deposit,0.95,14,23.9
81,0,Forex,1.0,13,16.8
34,0,Account_Opening,0.99,9,30.2
82,0,Loan_Inquiry,0.98,10,17.8
19,0,KYC_Update,0.95,10,11.8
59,0,Forex,0.87,13,23.4
61,0,Fixed_Deposit,0.97,15,23.9
65,0,Account_Opening,0.91,11,18.4
47,0,Forex,1.12,15,14.8
66,0,Loan_Inquiry,0.99,9,16.9
84,0,Lost_Card,1.11,13,12.2
50,0,Cash_Deposit,0.96,11,8.3
78,0,Cash_Withdrawal,0.98,14,5.6
51,0,Forex,0.94,15,29.2
43,0,Loan_Inquiry,1.19,13,16.1
63,0,Fixed_Deposit,1.11,16,18.7
54,0,Loan_Inquiry,1.15,14,12.8
71,0,Account_Opening,1.14,10,29.5
58,0,Forex,1.08,15,22.1
52,0,Lost_Card,1.1,16,8.0
20,0,KYC_Update,1.06,10,13.1
44,0,Cash_Withdrawal,0.84,16,4.5
68,0,Cash_Withdrawal,0.84,11,5.4
28,0,Account_Opening,0.92,12,26.8
34,0,Loan_Inquiry,0.81,14,17.7
59,0,Fixed_Deposit,1.19,13,13.6
87,0,Fixed_Deposit,1.05,15,20.9
85,0,Forex,1.16,16,12.4
74,0,Account_Opening,0.9,13,27.5
19,0,Loan_Inquiry,0.94,16,12.2
80,1,Fixed_Deposit,0.92,15,26.2
55,0,Cash_Deposit,1.02,12,3.3
68,0,Account_Opening,1.13,12,26.4
51,0,KYC_Update,1.01,13,11.2
52,0,Cash_Withdrawal,0.87,13,6.2
32,0,Fixed_Deposit,0.91,16,20.0
24,1,Cash_Deposit,0.87,10,7.5
54,0,Fixed_Deposit,1.09,12,16.9
45,0,Forex,1.11,16,18.4
65,0,Cash_Deposit,0.93,11,8.5
27,0,Loan_Inquiry,0.88,13,18.5
66,0,Cash_Withdrawal,1.19,12,2.0
49,0,Cash_Deposit,0.88,10,8.9
84,0,KYC_Update,0.99,13,14.7
23,0,Cash_Withdrawal,0.9,13,4.2
43,0,Cash_Deposit,1.15,12,5.4
73,0,Loan_Inquiry,1.12,10,15.4
68,0,Cash_Deposit,1.19,16,4.0
29,0,Fixed_Deposit,0.84,14,22.0
25,0,Loan_Inquiry,1.08,10,16.6
89,0,Lost_Card,1.12,16,11.3
42,0,Account_Opening,0.94,11,29.2
74,0,Fixed_Deposit,0.88,11,24.9
87,0,Fixed_Deposit,0.91,11,26.3
55,0,Lost_Card,0.98,15,11.7
41,0,Lost_Card,1.11,12,8.7
86,0,KYC_Update,1.01,16,14.1
88,0,Forex,0.93,14,30.7
26,0,Loan_Inquiry,0.87,9,19.2
43,0,KYC_Update,0.84,15,14.4
50,0,KYC_Update,1.04,10,10.6
19,1,KYC_Update,1.06,10,11.5
64,0,Account_Opening,1.13,9,24.0
52,0,Cash_Withdrawal,1.13,10,6.3
30,0,KYC_Update,1.01,12,10.1
42,0,KYC_Update,1.03,11,10.4
31,0,Lost_Card,1.07,15,9.4
31,0,Loan_Inquiry,1.02,14,14.5
74,1,Lost_Card,1.02,14,11.2
65,0,Account_Opening,1.13,14,19.9
45,0,Forex,0.94,16,18.0
75,1,Cash_Deposit,1.09,13,4.2
56,0,KYC_Update,0.89,14,13.5
20,0,Forex,1.17,11,22.5
37,0,Lost_Card,1.16,12,9.9
47,0,Forex,0.84,15,23.6
27,0,Fixed_Deposit,0.87,10,21.9
56,0,Account_Opening,0.83,9,34.1
73,0,Cash_Withdrawal,1.15,12,3.3
19,0,Account_Opening,0.82,9,27.8
59,0,KYC_Update,0.86,15,17.7
75,0,Cash_Withdrawal,0.89,13,5.0
61,0,Cash_Deposit,1.02,13,4.1
28,0,Account_Opening,1.11,11,25.2
43,0,KYC_Update,1.02,12,9.5
49,0,Account_Opening,0.93,10,33.5
64,0,Lost_Card,0.94,9,12.2
57,0,Lost_Card,1.05,16,8.0
47,0,Lost_Card,0.86,10,11.3
32,0,KYC_Update,1.18,11,13.7
19,0,Cash_Withdrawal,0.92,16,3.0
20,0,KYC_Update,0.88,13,11.0
36,0,Cash_Deposit,0.95,9,4.6
50,0,Forex,0.88,13,28.2
19,0,Forex,1.07,14,22.5
31,0,Account_Opening,0.89,15,23.0
58,0,Cash_Withdrawal,0.87,16,4.5
89,1,Cash_Deposit,0.82,13,7.3
38,0,Lost_Card,0.94,13,12.4
48,1,Forex,1.12,13,26.6
21,1,Forex,0.89,14,22.6
68,0,Cash_Withdrawal,1.09,12,2.7
72,1,Lost_Card,0.98,11,15.0
44,0,KYC_Update,1.15,13,8.8
35,0,Loan_Inquiry,1.06,11,10.6
58,0,Cash_Withdrawal,0.87,11,4.8
70,1,Forex,0.98,13,17.9
37,0,Cash_Withdrawal,0.85,9,4.8
52,0,KYC_Update,1.04,12,8.8
21,0,Fixed_Deposit,0.85,16,20.5
67,0,Loan_Inquiry,0.87,12,15.5
22,0,Cash_Deposit,1.17,15,5.1
43,0,Cash_Withdrawal,0.87,16,6.1
80,0,Fixed_Deposit,1.16,15,18.1
66,0,Account_Opening,1.04,9,25.6
84,0,Fixed_Deposit,1.13,9,19.5
86,0,Cash_Deposit,1.02,9,4.8
42,0,Account_Opening,1.15,13,16.7
24,0,Loan_Inquiry,0.99,16,15.8
29,0,Cash_Withdrawal,0.87,11,4.4
21,0,KYC_Update,1.15,10,12.6
50,0,Loan_Inquiry,1.09,10,18.4
64,0,Account_Opening,1.09,11,30.0
66,0,Cash_Deposit,1.11,14,3.1
37,0,Loan_Inquiry,0.87,9,15.8
71,0,Fixed_Deposit,0.92,11,23.9
43,0,Forex,0.8,16,26.4
81,0,Cash_Deposit,1.04,16,5.5
78,0,Fixed_Deposit,0.83,9,27.6
49,0,Forex,1.05,12,21.2
62,0,Cash_Deposit,1.07,13,5.0
60,1,Cash_Deposit,0.84,11,8.2
89,0,Fixed_Deposit,1.1,14,22.7
22,0,Forex,0.93,15,26.5
88,0,Fixed_Deposit,0.85,13,19.6
60,0,KYC_Update,1.08,9,13.6
85,1,Fixed_Deposit,1.09,13,24.4
72,0,Lost_Card,0.9,14,15.4
81,0,Fixed_Deposit,1.0,11,20.0
47,0,KYC_Update,0.8,9,11.5
44,0,Account_Opening,0.97,14,30.3
62,0,KYC_Update,0.8,12,14.6
26,0,Lost_Card,1.11,10,8.5
60,0,Cash_Deposit,1.13,12,3.8
79,0,Cash_Deposit,1.06,16,6.4
37,0,Lost_Card,0.98,15,11.8
84,0,Lost_Card,1.02,9,10.7
44,0,Lost_Card,1.12,14,10.9
21,0,Account_Opening,1.05,11,27.3
67,0,Cash_Withdrawal,1.15,13,3.4
22,0,Cash_Withdrawal,1.0,12,3.2
65,0,Forex,0.89,13,24.8
22,0,Cash_Withdrawal,0.98,9,4.9
79,0,Loan_Inquiry,0.88,16,18.3
59,0,Cash_Withdrawal,1.13,11,2.7
44,0,Fixed_Deposit,0.96,10,27.6
29,0,Cash_Deposit,0.84,13,6.0
20,0,Forex,1.06,12,17.7
53,0,Fixed_Deposit,1.07,13,18.6
37,0,Cash_Withdrawal,0.81,10,5.7
58,0,Forex,1.03,11,24.9
27,0,Lost_Card,1.02,9,11.3
24,0,Cash_Deposit,0.83,15,7.9
40,0,Fixed_Deposit,1.05,13,16.2
86,0,Fixed_Deposit,1.03,10,23.5
77,0,Forex,1.07,16,10.7
36,0,Forex,1.17,15,20.6
41,0,Lost_Card,1.12,14,9.3
78,0,Fixed_Deposit,0.98,11,22.2
54,0,Loan_Inquiry,1.0,15,18.3
59,0,Cash_Withdrawal,1.12,16,2.0
69,0,KYC_Update,1.05,11,15.1
61,0,Account_Opening,1.11,15,24.1
90,0,KYC_Update,0.87,10,17.2
80,0,Fixed_Deposit,0.93,10,18.7
74,0,Account_Opening,0.83,10,32.8
66,0,Cash_Deposit,0.84,11,4.9
18,0,Loan_Inquiry,0.98,13,12.8
43,0,Lost_Card,0.92,13,12.5
73,0,Lost_Card,1.2,9,7.0
34,0,Cash_Deposit,0.95,9,4.1
18,0,Lost_Card,0.84,13,12.9
68,0,Account_Opening,0.96,15,27.1
87,0,Loan_Inquiry,0.99,12,12.7
64,0,Loan_Inquiry,0.92,11,16.7
35,0,Cash_Deposit,0.86,16,3.6
35,0,Account_Opening,1.14,15,12.8
41,0,Account_Opening,1.02,16,21.8
72,0,Fixed_Deposit,1.14,12,18.2
82,0,Lost_Card,0.81,9,10.9
32,0,Cash_Withdrawal,0.86,13,4.0
77,0,Cash_Withdrawal,0.9,10,4.8
57,0,Lost_Card,1.01,9,7.6
78,0,Fixed_Deposit,1.03,14,14.2
55,0,Cash_Deposit,1.08,13,6.4
90,0,Fixed_Deposit,1.03,9,18.7
21,0,Cash_Withdrawal,0.85,10,4.5
53,0,Forex,0.91,13,23.9
40,0,Loan_Inquiry,1.06,14,15.7
40,0,KYC_Update,0.99,9,11.7
36,0,Loan_Inquiry,1.14,15,15.3
67,0,Fixed_Deposit,1.09,11,20.0
62,0,Forex,1.1,10,26.5
24,0,Account_Opening,0.99,16,25.1
86,0,Account_Opening,0.99,11,23.0
85,0,Cash_Deposit,0.92,16,5.2
85,0,Cash_Deposit,0.84,14,8.2
73,0,Forex,0.93,13,23.9
68,0,KYC_Update,1.09,12,10.0
84,0,Loan_Inquiry,0.93,9,15.9
19,0,Cash_Withdrawal,1.07,14,2.4
46,0,Forex,0.88,9,21.7
45,1,Cash_Withdrawal,1.08,10,4.5
29,0,Loan_Inquiry,0.95,11,20.4
50,0,Cash_Withdrawal,1.06,13,2.8
72,0,Lost_Card,0.9,10,12.8
67,0,Cash_Deposit,0.9,13,6.3
40,0,Fixed_Deposit,1.19,12,13.7
80,0,Account_Opening,0.89,10,32.0
74,0,Cash_Withdrawal,0.81,10,5.1
75,0,Fixed_Deposit,0.86,9,21.5
22,0,Forex,0.86,14,29.9
83,0,Fixed_Deposit,0.99,15,20.1
26,0,Cash_Deposit,0.95,16,6.6
63,0,Forex,0.96,10,26.7
64,0,Lost_Card,0.83,16,12.4
43,0,Cash_Deposit,1.19,12,3.0
56,0,Cash_Withdrawal,1.05,14,2.1
74,0,Loan_Inquiry,0.81,9,20.3
48,0,Cash_Withdrawal,1.12,13,2.0
75,1,Cash_Deposit,0.81,9,7.6
61,0,Cash_Deposit,0.96,12,6.0
76,1,Loan_Inquiry,1.1,12,13.5
27,0,Loan_Inquiry,1.0,9,9.5
23,0,Loan_Inquiry,0.81,9,19.5
57,0,Cash_Withdrawal,0.98,11,4.7
31,0,KYC_Update,0.83,12,13.8
72,0,Account_Opening,0.93,11,25.7
45,0,Loan_Inquiry,0.93,10,23.6
53,0,Account_Opening,0.87,14,26.5
23,0,Account_Opening,1.11,9,20.8
80,0,Cash_Deposit,0.87,10,6.4
54,0,Fixed_Deposit,1.08,12,12.8
36,0,Fixed_Deposit,0.96,11,20.0
41,0,Cash_Withdrawal,1.05,13,3.6
62,0,KYC_Update,0.88,10,12.2
87,0,Fixed_Deposit,1.11,12,14.3
53,0,Cash_Withdrawal,1.12,16,3.0
23,0,Lost_Card,0.91,15,12.1
50,0,Fixed_Deposit,0.82,9,23.6
21,0,Cash_Withdrawal,0.83,12,4.5
74,0,Lost_Card,0.97,14,12.3
47,0,Account_Opening,1.15,15,26.3
46,0,Fixed_Deposit,0.82,15,28.4
76,0,Lost_Card,0.85,12,16.3
63,1,KYC_Update,0.93,9,14.8
35,0,Fixed_Deposit,0.98,11,19.2
61,0,Forex,1.04,11,16.8
47,0,Fixed_Deposit,1.14,12,14.0
78,0,Forex,0.81,15,29.3
59,0,KYC_Update,1.16,11,9.9
18,0,Cash_Deposit,0.82,16,5.9
72,0,Fixed_Deposit,1.12,10,15.2
75,0,Cash_Withdrawal,1.02,9,3.9
45,0,Forex,0.9,10,20.6
20,0,Forex,0.86,16,27.4
21,1,Fixed_Deposit,1.11,15,16.6
41,0,Lost_Card,1.05,9,10.0
60,0,Forex,0.97,13,19.4
87,0,KYC_Update,1.12,10,12.1
25,0,Lost_Card,1.16,10,8.2
67,0,Cash_Deposit,0.95,11,4.6
89,0,KYC_Update,0.86,14,15.1
48,0,Fixed_Deposit,1.09,12,16.6
59,0,Forex,1.0,15,15.2
53,0,Lost_Card,0.94,16,6.9
78,0,Forex,0.98,14,24.4
26,0,Fixed_Deposit,0.83,15,25.8
27,0,Forex,0.84,11,24.2
81,0,KYC_Update,1.01,9,11.7
87,1,Fixed_Deposit,0.94,16,32.6
20,0,Cash_Withdrawal,0.81,12,5.6
60,0,Lost_Card,1.06,14,8.3
80,0,Fixed_Deposit,0.98,11,24.3
51,0,Lost_Card,1.19,9,7.4
36,0,Fixed_Deposit,1.18,11,16.2
40,0,Loan_Inquiry,0.86,10,17.2
23,1,Loan_Inquiry,0.98,14,20.6
22,0,Lost_Card,0.86,16,14.0
87,1,Forex,0.85,9,26.8
36,1,Lost_Card,0.86,14,16.0
55,0,Forex,1.19,11,20.5
74,0,Cash_Withdrawal,1.09,9,2.4
35,0,Cash_Withdrawal,0.92,15,4.3
63,0,Cash_Deposit,1.04,12,4.2
85,0,Forex,0.88,10,23.9
29,1,Account_Opening,0.88,14,34.6
